WKT,ad,açıklama,fid,adet,tip,mahalle
"POINT (27.1888352 38.3739294)",Metin Göktepe Cd. No:47,,,2.0,1.0,ataturk
"POINT (27.1881803 38.3731104)",Metin Göktepe Cd. No:59,,,1.0,1.0,ataturk
"POINT (27.189303 38.3744538)",Metin Göktepe Cd. No:41,,,1.0,1.0,ataturk
"POINT (27.1895112 38.3747806)",Metin Göktepe Cd. No:37,,,2.0,1.0,ataturk
"POINT (27.1896736 38.3750312)",Metin Göktepe Cd. No:30,,,3.0,1.0,ataturk
"POINT (27.1887717 38.3756497)",201. Sk. No:26,,,4.0,1.0,ataturk
"POINT (27.1881589 38.3758577)",201. Sk. No:32,,,2.0,1.0,ataturk
"POINT (27.187943 38.3759277)",201. Sk. No:34,,,3.0,1.0,ataturk
"POINT (27.1878437 38.3759672)",201. Sk. No:44,,,2.0,1.0,ataturk
"POINT (27.187378 38.376365)",202/51. Sokak No:11,,,1.0,1.0,ataturk
"POINT (27.1873646 38.3765458)",202/51. Sokak No:17,,,2.0,1.0,ataturk
"POINT (27.1861935 38.3767392)",202/12. Sk. No:33,,,3.0,1.0,ataturk
"POINT (27.1880651 38.3755867)",201/9. Sokak,,,3.0,1.0,ataturk
"POINT (27.1879847 38.3749605)",202/8. Sk. No:16,,,1.0,1.0,ataturk
"POINT (27.1878092 38.3747014)",202/8. Sokak Trafo Köşe,,,2.0,1.0,ataturk
"POINT (27.1878624 38.3741503)",202/6. Sk. No:29,,,2.0,1.0,ataturk
"POINT (27.1880091 38.3736249)",202/58. Sk No:4,,,2.0,1.0,ataturk
"POINT (27.1872832 38.3738776)",202/58. Sk No:51,,,3.0,1.0,ataturk
"POINT (27.1866068 38.3750996)",202/60. Sokak ParkÖnü,parkönü,,1.0,1.0,ataturk
"POINT (27.1863431 38.3752984)",202/57. Sk. No:8,,,1.0,1.0,ataturk
"POINT (27.1859224 38.3754846)",202/57. Sk. No:26,,,1.0,1.0,ataturk
"POINT (27.1862176 38.3760453)",202/13. Sk. No:3,,,1.0,1.0,ataturk
"POINT (27.1855969 38.3761719)",202/16. Sk. No:15,,,2.0,1.0,ataturk
"POINT (27.1849606 38.376357)",202/16. Sk. No:10,,,1.0,1.0,ataturk
"POINT (27.1845413 38.3766249)",202/17. Sk. No:4,,,2.0,1.0,ataturk
"POINT (27.1843343 38.3763831)",202/17. Sk. No:8,,,1.0,1.0,ataturk
"POINT (27.1840301 38.3759958)",202/17. Sk. No:13,,,2.0,1.0,ataturk
"POINT (27.1851181 38.3745011)",202/12. Sk. No:6,,,1.0,1.0,ataturk
"POINT (27.1832728 38.3758874)",202/61. Sk No:3,,,1.0,1.0,ataturk
"POINT (27.1833434 38.3754845)",202/40. Sk. No: 18,,,3.0,1.0,ataturk
"POINT (27.1839258 38.3752227)",202/40. Sk. No:14,,,4.0,1.0,ataturk
"POINT (27.184405 38.375547)",202/53. Sk. No:25,,,1.0,1.0,ataturk
