WKT,ad,yol_adi,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avgataturk_sefer1_service,avgataturk_sefer1_sira,avgataturk_sefer2_service,avgataturk_sefer2_sira,avg_gecis,azu_gecis,mahalle,trafik_seviyesi
"LINESTRING (27.1930836 38.3722019, 27.193272 38.3722172)",,Hoca Ahmet Yesevi cd.,303,304.0,17.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1923723 38.3721617, 27.1930836 38.3722019)",,Hoca Ahmet Yesevi cd.,304,305.0,62.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1896651 38.3680462, 27.1897909 38.3687934)",,1409. sk.,408,438.0,183.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,orta
"LINESTRING (27.18791 38.37275, 27.1886211 38.3726431)",,Hoca Ahmet Yesevi cd.,63,239.0,63.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1886211 38.3726431, 27.1894308 38.3725928, 27.1898988 38.3725508, 27.1901952 38.3725082, 27.1904724 38.3724412)",,Hoca Ahmet Yesevi cd.,239,319.0,164.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1911572 38.3722752, 27.1916028 38.3721771)",,Hoca Ahmet Yesevi cd.,391,392.0,40.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1916028 38.3721771, 27.1918564 38.372147, 27.1920247 38.3721412, 27.1923723 38.3721617)",,Hoca Ahmet Yesevi cd.,305,391.0,68.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.193272 38.3722172, 27.1939465 38.3722495)",,Hoca Ahmet Yesevi cd.,302,303.0,59.0,0.0,0.0,cift,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1932836 38.3698895, 27.1934951 38.3699413, 27.1941147 38.3700212)",,Ahmet Pristina Blv.,380,294.0,74.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1941147 38.3700212, 27.1950317 38.3702754, 27.1953421 38.3703227, 27.1953673 38.3703091, 27.1953891 38.3702983, 27.1954149 38.3702872)",,Ahmet Pristina Blv.,294,220.0,120.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1953047 38.3704635, 27.1953004 38.3704453, 27.1952974 38.3704335, 27.1953024 38.3703917, 27.1953088 38.3703749, 27.1953222 38.370351, 27.1953416 38.3703292, 27.1953681 38.370311, 27.1953999 38.3702952, 27.1954149 38.3702872)",,Dogus cd.,222,220.0,24.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1939465 38.3722495, 27.1940138 38.3722963, 27.1941005 38.3723883, 27.194133 38.3724676, 27.1941295 38.3725363, 27.194115 38.3726168)",,Hoca Ahmet Yesevi cd.,227,302.0,47.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.194115 38.3726168, 27.1943937 38.3722698)",,Dogus cd.,227,226.0,46.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1939465 38.3722495, 27.1940756 38.372271, 27.1942071 38.3722844, 27.1943029 38.3722833, 27.1943937 38.3722698)",,Hoca Ahmet Yesevi cd.,302,226.0,40.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
"LINESTRING (27.1899869 38.3697981, 27.1899871 38.3698061, 27.1906633 38.3697984, 27.1918499 38.3698285, 27.1926043 38.3698296, 27.1930083 38.3698364, 27.193154 38.3698398, 27.1932836 38.3698895)",,Ahmet Pristina Blv.,333,380.0,297.0,0.0,0.0,tek,0.0,0.0,0.0,0.0,1,1,depo_baglanti,yuksek
