WKT,ad,açıklama,id,mahalle
"POINT (27.18011 38.36644)",SANAL DEPO,,0.0,depo
"POINT (27.1761943 38.3777201)",Nokta 100,,100.0,ataturk
"POINT (27.1765325 38.3774757)",Nokta 101,,101.0,ataturk
"POINT (27.177744 38.3767817)",Nokta 102,,102.0,ataturk
"POINT (27.1774509 38.3774726)",Nokta 103,,103.0,ataturk
"POINT (27.1780466 38.3773898)",Nokta 104,,104.0,ataturk
"POINT (27.1785201 38.3763189)",Nokta 105,,105.0,ataturk
"POINT (27.1783037 38.3773181)",Nokta 106,,106.0,ataturk
"POINT (27.1792328 38.3770029)",Nokta 107,,107.0,ataturk
"POINT (27.1788964 38.3761689)",Nokta 108,,108.0,ataturk
"POINT (27.1793781 38.3769545)",Nokta 109,,109.0,ataturk
"POINT (27.1804686 38.3765792)",Nokta 110,,110.0,ataturk
"POINT (27.1800611 38.3759386)",Nokta 111,,111.0,ataturk
"POINT (27.1813365 38.3761975)",Nokta 112,,112.0,ataturk
"POINT (27.18184 38.3759827)",Nokta 113,,113.0,ataturk
"POINT (27.1816214 38.3752626)",Nokta 114,,114.0,ataturk
"POINT (27.1823706 38.375736)",Nokta 115,,115.0,ataturk
"POINT (27.1819515 38.3751693)",Nokta 116,,116.0,ataturk
"POINT (27.1824768 38.3758706)",Nokta 117,,117.0,ataturk
"POINT (27.1826687 38.3761425)",Nokta 118,,118.0,ataturk
"POINT (27.1834564 38.3757996)",Nokta 119,,119.0,ataturk
"POINT (27.1832498 38.375529)",Nokta 120,,120.0,ataturk
"POINT (27.1838212 38.3756933)",Nokta 121,,121.0,ataturk
"POINT (27.1834039 38.3754458)",Nokta 122,,122.0,ataturk
"POINT (27.1837199 38.3753039)",Nokta 123,,123.0,ataturk
"POINT (27.1841513 38.3751339)",Nokta 124,,124.0,ataturk
"POINT (27.1854135 38.3752243)",Nokta 125,,125.0,ataturk
"POINT (27.1838918 38.374894)",Nokta 126,,126.0,ataturk
"POINT (27.1852462 38.3747743)",Nokta 127,,127.0,ataturk
"POINT (27.1850767 38.3744254)",Nokta 129,,129.0,ataturk
"POINT (27.1850366 38.3743537)",Nokta 130,,130.0,ataturk
"POINT (27.1848933 38.3740515)",Nokta 131,,131.0,ataturk
"POINT (27.1856802 38.3740873)",Nokta 132,,132.0,ataturk
"POINT (27.1859505 38.3739166)",Nokta 133,,133.0,ataturk
"POINT (27.1856992 38.3735771)",Nokta 134,,134.0,ataturk
"POINT (27.1865791 38.3735874)",Nokta 135,,135.0,ataturk
"POINT (27.1864157 38.3732754)",Nokta 136,,136.0,ataturk
"POINT (27.1868923 38.374013)",Nokta 137,,137.0,ataturk
"POINT (27.1876 38.3737081)",Nokta 139,,139.0,ataturk
"POINT (27.18847 38.3734944)",Nokta 140,,140.0,ataturk
"POINT (27.1879869 38.3743129)",Nokta 141,,141.0,ataturk
"POINT (27.1887679 38.3738529)",Nokta 142,,142.0,ataturk
"POINT (27.1890305 38.3741321)",Nokta 143,,143.0,ataturk
"POINT (27.1881403 38.3745161)",Nokta 144,,144.0,ataturk
"POINT (27.1898396 38.3752942)",Nokta 145,,145.0,ataturk
"POINT (27.1890955 38.3755596)",Nokta 146,,146.0,ataturk
"POINT (27.1886742 38.3750091)",Nokta 147,,147.0,ataturk
"POINT (27.1884731 38.3748251)",Nokta 148,,148.0,ataturk
"POINT (27.1880705 38.3750881)",Nokta 149,,149.0,ataturk
"POINT (27.1877726 38.3746604)",Nokta 150,,150.0,ataturk
"POINT (27.1874412 38.3742607)",Nokta 151,,151.0,ataturk
"POINT (27.1871884 38.3739506)",Nokta 152,,152.0,ataturk
"POINT (27.1865526 38.3746856)",Nokta 153,,153.0,ataturk
"POINT (27.1866434 38.3751654)",Nokta 154,,154.0,ataturk
"POINT (27.1885897 38.3736471)",Nokta 155,,155.0,ataturk
"POINT (27.1887332 38.3756622)",Nokta 156,,156.0,ataturk
"POINT (27.1883098 38.3752973)",Nokta 157,,157.0,ataturk
"POINT (27.188055 38.3755977)",Nokta 158,,158.0,ataturk
"POINT (27.1882897 38.3758132)",Nokta 159,,159.0,ataturk
"POINT (27.1877063 38.376007)",Nokta 160,,160.0,ataturk
"POINT (27.1874529 38.3756618)",Nokta 161,,161.0,ataturk
"POINT (27.187221 38.3761458)",Nokta 162,,162.0,ataturk
"POINT (27.187379 38.3765804)",Nokta 163,,163.0,ataturk
"POINT (27.1862753 38.3769242)",Nokta 164,,164.0,ataturk
"POINT (27.1861378 38.3766336)",Nokta 165,,165.0,ataturk
"POINT (27.1859116 38.376138)",Nokta 166,,166.0,ataturk
"POINT (27.1858811 38.3760741)",Nokta 167,,167.0,ataturk
"POINT (27.1856382 38.3755833)",Nokta 168,,168.0,ataturk
"POINT (27.1851387 38.376284)",Nokta 169,,169.0,ataturk
"POINT (27.1848313 38.3758886)",Nokta 170,,170.0,ataturk
"POINT (27.1845354 38.3755058)",Nokta 171,,171.0,ataturk
"POINT (27.1841095 38.3760986)",Nokta 172,,172.0,ataturk
"POINT (27.1842645 38.3762931)",Nokta 173,,173.0,ataturk
"POINT (27.1844672 38.3765331)",Nokta 174,,174.0,ataturk
"POINT (27.1847842 38.376946)",Nokta 175,,175.0,ataturk
"POINT (27.1842617 38.3771462)",Nokta 176,,176.0,ataturk
"POINT (27.1836374 38.3774307)",Nokta 177,,177.0,ataturk
"POINT (27.1831954 38.3768456)",Nokta 178,,178.0,ataturk
"POINT (27.1829877 38.3765396)",Nokta 179,,179.0,ataturk
"POINT (27.1816998 38.3769268)",Nokta 180,,180.0,ataturk
"POINT (27.1816922 38.3767725)",Nokta 181,,181.0,ataturk
"POINT (27.1809965 38.3773302)",Nokta 182,,182.0,ataturk
"POINT (27.1804646 38.3775673)",Nokta 183,,183.0,ataturk
"POINT (27.1800052 38.3773718)",Nokta 184,,184.0,ataturk
"POINT (27.1798673 38.3777075)",Nokta 185,,185.0,ataturk
"POINT (27.1801831 38.3777156)",Nokta 186,,186.0,ataturk
"POINT (27.1802529 38.378153)",Nokta 187,,187.0,ataturk
"POINT (27.179744 38.3780486)",Nokta 188,,188.0,ataturk
"POINT (27.180677 38.3784182)",Nokta 189,,189.0,ataturk
"POINT (27.1805707 38.3787837)",Nokta 190,,190.0,ataturk
"POINT (27.1811502 38.3788952)",Nokta 191,,191.0,ataturk
"POINT (27.1804297 38.3793658)",Nokta 192,,192.0,ataturk
"POINT (27.1816242 38.3794596)",Nokta 193,,193.0,ataturk
"POINT (27.1821689 38.3804459)",Nokta 194,,194.0,ataturk
"POINT (27.1812373 38.3807717)",Nokta 195,,195.0,ataturk
"POINT (27.1807113 38.3800543)",Nokta 196,,196.0,ataturk
"POINT (27.1798941 38.3804101)",Nokta 197,,197.0,ataturk
"POINT (27.180563 38.3809485)",Nokta 198,,198.0,ataturk
"POINT (27.1806801 38.3809701)",Nokta 199,,199.0,ataturk
"POINT (27.1840378 38.3794268)",Nokta 99,,99.0,ataturk
"POINT (27.1855427 38.3791153)",Nokta 98,,98.0,ataturk
"POINT (27.187081 38.3781275)",Nokta 97,,97.0,ataturk
"POINT (27.1886649 38.3773089)",Nokta 96,,96.0,ataturk
"POINT (27.1897968 38.3768053)",Nokta 95,,95.0,ataturk
"POINT (27.190072 38.3766752)",Nokta 94,,94.0,ataturk
"POINT (27.1905442 38.3764268)",Nokta 93,,93.0,ataturk
"POINT (27.1881195 38.3766158)",Nokta 92,,92.0,ataturk
"POINT (27.1853908 38.3767979)",Nokta 91,,91.0,ataturk
"POINT (27.1846412 38.3777365)",Nokta 90,,90.0,ataturk
"POINT (27.184977 38.3782523)",Nokta 89,,89.0,ataturk
"POINT (27.1803819 38.379518)",Nokta 88,,88.0,ataturk
"POINT (27.1787047 38.3794967)",Nokta 87,,87.0,ataturk
"POINT (27.1786747 38.3796097)",Nokta 86,,86.0,ataturk
"POINT (27.1786176 38.3798411)",Nokta 85,,85.0,ataturk
"POINT (27.1778398 38.3788427)",Nokta 84,,84.0,ataturk
"POINT (27.1788148 38.3790395)",Nokta 83,,83.0,ataturk
"POINT (27.1789915 38.3783436)",Nokta 82,,82.0,ataturk
"POINT (27.1776706 38.3780671)",Nokta 81,,81.0,ataturk
"POINT (27.1785149 38.3803609)",Nokta 80,,80.0,ataturk
"POINT (27.1779029 38.3806187)",Nokta 79,,79.0,ataturk
"POINT (27.1781204 38.3811073)",Nokta 78,,78.0,ataturk
"POINT (27.1795341 38.3807134)",Nokta 77,,77.0,ataturk
"POINT (27.179028 38.3802022)",Nokta 76,,76.0,ataturk
"POINT (27.1773231 38.3810461)",Nokta 75,,75.0,ataturk
"POINT (27.1768755 38.3807781)",Nokta 74,,74.0,ataturk
"POINT (27.1768891 38.3800305)",Nokta 73,,73.0,ataturk
"POINT (27.1774452 38.3798368)",Nokta 72,,72.0,ataturk
"POINT (27.1768258 38.3786789)",Nokta 71,,71.0,ataturk
"POINT (27.1799714 38.3811295)",Nokta 70,,70.0,ataturk
"POINT (27.1797103 38.3812604)",Nokta 69,,69.0,ataturk
"POINT (27.178483 38.3815762)",Nokta 68,,68.0,ataturk
"POINT (27.1800611 38.3759386)",Nokta 67,,67.0,ataturk
"POINT (27.1829867 38.3748465)",Nokta 66,,66.0,ataturk
"POINT (27.1836504 38.3745702)",Nokta 65,,65.0,ataturk
