WKT,ad,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avg_gecis,ayt_gecis,azu_gecis,mahalle
"LINESTRING (27.1905241 38.3660351, 27.190577 38.366011, 27.1906722 38.3659881, 27.1907054 38.3659849, 27.1907979 38.3659857, 27.1909173 38.3659915, 27.1909971 38.3659926, 27.1910346 38.3659986, 27.1910752 38.3660191, 27.1910903 38.366042, 27.1911009 38.366099, 27.1911129 38.3661336, 27.1911355 38.3661602, 27.191164 38.366178, 27.19121 38.3661899, 27.1912338 38.3662014)",,205.0,206.0,77.0,3500.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1908376 38.3663476, 27.1910771 38.3662412, 27.1912309 38.3662023)",,206.0,269.0,38.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1901568 38.3670807, 27.1894878 38.3665559)",,265.0,352.0,147.0,3500.0,0.0,cift,0.0,1.0,0.0,kurucesme
"LINESTRING (27.1926499 38.3691633, 27.1927099 38.3693638, 27.1927709 38.3695294, 27.1927897 38.3695636, 27.1928044 38.3695956, 27.1928664 38.3698356)",,419.0,435.0,77.0,1400.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1899296 38.3693914, 27.1898779 38.3692055)",,421.0,422.0,21.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1899296 38.3693914, 27.1908062 38.369343)",,420.0,422.0,77.0,1400.0,0.0,cift,0.0,1.0,0.0,kurucesme
"LINESTRING (27.1896651 38.3680462, 27.1897909 38.3687934)",,408.0,438.0,183.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1900014 38.3661464, 27.1902505 38.3663297)",,266.0,267.0,30.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1902505 38.3663297, 27.1905914 38.3661132)",,267.0,268.0,38.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1905241 38.3660351, 27.1905914 38.3661132)",,205.0,268.0,10.0,0.0,0.0,cift,0.0,1.0,0.0,kurucesme
"LINESTRING (27.1905914 38.3661132, 27.1908376 38.3663476)",,268.0,269.0,34.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1908062 38.369343, 27.1913952 38.369339, 27.1916017 38.3693222, 27.19176 38.3692927, 27.1926499 38.3691633)",,419.0,420.0,163.0,1400.0,0.0,cift,0.0,1.0,0.0,kurucesme
"LINESTRING (27.1899869 38.3697981, 27.1899871 38.3698061, 27.1906633 38.3697984, 27.1918499 38.3698285, 27.1928665 38.3698343)",,333.0,435.0,297.0,0.0,9000.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1881345 38.3699727, 27.1899871 38.3698061)",,334.0,333.0,163.0,0.0,3000.0,tek,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1881757 38.368877, 27.1881345 38.3699727)",,334.0,407.0,122.0,3500.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1881757 38.368877, 27.1897909 38.3687934)",,407.0,438.0,141.0,0.0,3000.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1881757 38.368877, 27.1882209 38.3678127)",,350.0,407.0,119.0,2100.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1899871 38.3698061, 27.1899296 38.3693914)",,333.0,422.0,46.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1898779 38.3692055, 27.1897909 38.3687934)",,421.0,438.0,46.0,700.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.189235 38.3675666, 27.1896651 38.3680462)",,351.0,408.0,65.0,700.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1896153 38.3659436, 27.1898828 38.3655627, 27.1900859 38.3656803, 27.1901037 38.3656918, 27.1904774 38.3659835, 27.1905241 38.3660351)",,204.0,205.0,126.0,3500.0,0.0,cift,0.0,1.0,0.0,kurucesme
"LINESTRING (27.1896153 38.3659436, 27.1898484 38.3660635, 27.1900014 38.3661464)",,204.0,266.0,41.0,700.0,0.0,cift,1.0,1.0,1.0,kurucesme
"LINESTRING (27.1894878 38.3665559, 27.1900014 38.3661464)",,265.0,266.0,64.0,0.0,0.0,cift,1.0,1.0,1.0,kurucesme
