WKT,ad,adet,tip
"POINT (27.1911817 38.3718779)",203/38. Sk. No:7,1.0,1.0
"POINT (27.1906325 38.3719288)",203/38. Sk. No:10,2.0,1.0
"POINT (27.1894732 38.3720691)",203/38. Sk. No:32,1.0,1.0
"POINT (27.1885698 38.3721507)",203/38. Sk. No:43,2.0,1.0
"POINT (27.1899365 38.3720086)",203/38. Sk. No:25,2.0,1.0
"POINT (27.1901216 38.3725185)",Hoca Ahmet Yesevi Cd. 168 B,1.0,1.0
"POINT (27.1924955 38.3721573)",Hoca Ahmet Yesevi Cd. No:212,1.0,1.0
"POINT (27.1916424 38.3736249)",203/31. Sk. No:3,2.0,1.0
"POINT (27.1898122 38.366815)",205/16. Sokak No:30,2.0,1.0
"POINT (27.1910854 38.3693459)",203/10. Sk. No:27,1.0,1.0
"POINT (27.1910621 38.3723062)",Hoca Ahmet Yesevi Cd. No:196,1.0,1.0
"POINT (27.1900394 38.3693873)",203/10. Sk. No:51,2.0,1.0
"POINT (27.1916861 38.3693146)",203/10. Sk. No:11,1.0,1.0
"POINT (27.1922859 38.3689187)",205/4. Sk. No:2,2.0,1.0
"POINT (27.1937848 38.3696292)",205/36. Sk. No:12,2.0,1.0
"POINT (27.1944255 38.3704974)",203/25. Sk. no:5,2.0,1.0
"POINT (27.1939845 38.3714077)",203/3. Sk. No:4,1.0,1.0
"POINT (27.1933584 38.3713429)",203/15. Sk. No:6,2.0,1.0
"POINT (27.1937761 38.3718509)",203/4. Sk. No:3,2.0,1.0
"POINT (27.1965949 38.3657269)",205/35. Sk. No:13,1.0,1.0
"POINT (27.1960006 38.3657381)",205/35. Sk. No:7,1.0,1.0
"POINT (27.1909379 38.3739003)",Hacı Bektaş Veli Sok. No:32,2.0,1.0
"POINT (27.1908407 38.3727378)",Hacı Bektaş Veli Sokağı Park Önü,2.0,1.0
"POINT (27.1906038 38.3731903)",202/50. Sk. No:19,1.0,1.0
"POINT (27.1921343 38.3731318)",203/52. Sokak,3.0,1.0
