WKT,ad,yol_adi,from_node,to_node,uzunluk,tip1_talep,tip2_talep,yon,avg297_sefer1_service,avg297_sefer1_sira,ayt275_sefer1_service,ayt275_sefer1_sira,avg_gecis,ayt_gecis,azu_gecis,mahalle
"LINESTRING (27.1875887 38.3716946, 27.1879074 38.3716308)",,206/53 sk.,243,328,29,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1875887 38.3716946, 27.1875158 38.3715749, 27.1874628 38.371505, 27.1873542 38.3713983, 27.1872979 38.3712874, 27.1872743 38.3712046, 27.1872911 38.371111, 27.1873038 38.3710955, 27.187324 38.3710818, 27.1873947 38.371051, 27.187688 38.3709722)",,206/50 sk.,243,244,111,1400,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1876882 38.3709725, 27.1879074 38.3716308)",,206/52 sk.,244,328,76,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1876882 38.3709725, 27.1880015 38.370898)",,206/55 sk.,244,245,29,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1880015 38.370898, 27.1882763 38.3715437)",,206/54 sk.,245,327,76,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1879074 38.3716308, 27.1882763 38.3715437)",,206/53 sk.,327,328,34,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1875887 38.3716946, 27.1876637 38.3719601)",,206/50 sk.,242,243,30,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1882763 38.3715437, 27.1883799 38.3717866)",,206/54 sk.,326,327,29,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1876637 38.3719601, 27.1883799 38.3717866)",,206/51 sk.,242,326,65,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1876637 38.3719601, 27.1876604 38.3720423, 27.1877363 38.3723453)",,206/50 sk.,241,242,44,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1877363 38.3723453, 27.18791 38.37275)",,206/50 sk.,63,241,48,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1880015 38.370898, 27.1883022 38.3708236)",,206/55 sk.,245,246,28,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1883022 38.3708236, 27.1883487 38.3709165)",,206/40 sk.,246,329,11,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1877363 38.3723453, 27.1883294 38.3721921, 27.1885311 38.3721526)",,203/38 sk.,240,241,73,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1883799 38.3717866, 27.1884464 38.3718799, 27.1885311 38.3721526)",,206/54 sk.,240,326,43,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1882763 38.3715437, 27.1885429 38.3714498)",,206/53 sk.,325,327,26,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1883487 38.3709165, 27.1885429 38.3714498)",,203/40 sk.,325,329,62,2100,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1885429 38.3714498, 27.1886933 38.3717971, 27.1887105 38.3718229, 27.1887255 38.3718366, 27.188739 38.3718419, 27.1887544 38.3718447, 27.1887738 38.3718434, 27.1891799 38.3717387, 27.1893497 38.3716901)",,203/40 sk.,324,325,104,2100,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1883487 38.3709165, 27.1887546 38.3708065, 27.1888458 38.3707713, 27.188941 38.370751, 27.1893246 38.3706944)",,203/28 sk.,329,330,89,700,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1893497 38.3716901, 27.1892797 38.3714154, 27.1892569 38.3711583, 27.1893246 38.3706944)",,203/42 sk.,324,330,112,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1893246 38.3706944, 27.1900003 38.3707055)",,203/28 sk.,330,331,59,700,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.189931 38.3709999, 27.1900003 38.3707055)",,203/42 sk.,331,397,33,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1893497 38.3716901, 27.1898017 38.3715976)",,203/40 sk.,323,324,41,700,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1898017 38.3715976, 27.189931 38.3709999)",,203/42 sk.,323,397,67,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.189931 38.3709999, 27.1904973 38.371006)",,203/35 sk.,397,398,49,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1905215 38.3717006, 27.1904973 38.371006)",,203/42 sk.,396,398,77,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1904973 38.371006, 27.1916992 38.3708891)",,203/35 sk.,398,399,106,1400,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1900003 38.3707055, 27.1916855 38.3706203)",,203/28 sk.,331,400,147,2100,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916992 38.3708891, 27.1916855 38.3706203)",,203/37 sk.,399,400,30,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1905215 38.3717006, 27.1912415 38.3716695, 27.1916525 38.3716274)",,205/1 sk.,389,396,99,2100,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916209 38.371862, 27.1916525 38.3716274)",,203/37 sk.,389,390,26,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1910668 38.3718872, 27.1916209 38.371862)",,203/38 sk.,430,390,48,700,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.190419 38.3719497, 27.1910668 38.3718872)",,203/38 sk.,320,430,57,1400,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1911572 38.3722752, 27.1910668 38.3718872)",,203/48 sk.,392,430,44,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916028 38.3721771, 27.1916209 38.371862)",,203/37 sk.,390,391,35,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1917686 38.3716146, 27.1916992 38.3708891)",,203/37 sk.,388,399,81,700,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1916992 38.3708891, 27.1920495 38.3708881)",,203/35 sk.,399,434,31,700,0,cift,0,0,1,7,0,1,0,kurucesme
"LINESTRING (27.1920495 38.3708881, 27.1925032 38.3708727)",,203/35 sk.,434,437,40,700,0,cift,0,0,1,8,0,1,0,kurucesme
"LINESTRING (27.1925032 38.3708727, 27.1930251 38.3709013)",,203/35 sk.,384,437,46,0,0,cift,0,0,0,0,1,1,0,kurucesme
"LINESTRING (27.1929394 38.3711055, 27.1930251 38.3709013)",,205 sk.,384,385,24,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1928652 38.371199, 27.1929394 38.3711055)",,205 sk.,385,386,12,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1929382 38.3718764, 27.1928119 38.3716742, 27.1927918 38.3715049, 27.1927838 38.3714239, 27.1928652 38.371199)",,205 sk.,386,387,79,2100,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1929382 38.3718764, 27.1930406 38.3717709, 27.1931398 38.3717015, 27.1931707 38.3716679, 27.1932693 38.3714909)",,203/15 sk.,387,431,52,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1932693 38.3714909, 27.1934038 38.3712677)",,203/15 sk,431,432,27,1400,0,cift,0,0,1,13,0,1,0,kurucesme
"LINESTRING (27.1934038 38.3712677, 27.1935796 38.3713)",,203/3 sk.,432,433,16,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1929394 38.3711055, 27.1934038 38.3712677)",,203/3 sk.,385,432,44,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1932693 38.3714909, 27.1936644 38.3716394, 27.1937556 38.3716809, 27.1938891 38.3717386, 27.1939287 38.3717595)",,203/6 sk.,301,431,65,0,0,cift,0,0,0,0,1,1,1,kurucesme
"LINESTRING (27.1930251 38.3709013, 27.1931324 38.3706497)",,205 sk.,383,384,30,1400,0,cift,1,50,0,0,1,1,1,kurucesme
