WKT,ad,id
"POINT (27.1902636 38.375049)",,235.0
"POINT (27.1904429 38.375328)",,234.0
"POINT (27.1909492 38.3762262)",,233.0
"POINT (27.1916109 38.3758225)",,232.0
"POINT (27.1919134 38.3754144)",,231.0
"POINT (27.1921118 38.3751886)",,230.0
"POINT (27.1924182 38.3748001)",,229.0
"POINT (27.1926993 38.3744204)",,228.0
"POINT (27.1947172 38.3718257)",,225.0
"POINT (27.1950147 38.3711632)",,224.0
"POINT (27.1951875 38.3706995)",,223.0
"POINT (27.1953047 38.3704635)",,222.0
"POINT (27.1954149 38.3702872)",,220.0
"POINT (27.1958565 38.3694769)",,219.0
"POINT (27.1966503 38.3684406)",,218.0
"POINT (27.1968124 38.3682279)",,217.0
"POINT (27.197831 38.3664513)",,216.0
"POINT (27.1977595 38.3663889)",,214.0
"POINT (27.1980766 38.3659352)",,215.0
"POINT (27.1972598 38.3659067)",,213.0
"POINT (27.1971064 38.3657318)",,212.0
"POINT (27.1968758 38.3658574)",,283.0
"POINT (27.1971574 38.3650571)",,211.0
"POINT (27.1953193 38.365074)",,210.0
"POINT (27.1941097 38.365419)",,209.0
"POINT (27.192697 38.3659582)",,208.0
"POINT (27.1921507 38.3660926)",,207.0
"POINT (27.1912309 38.3662023)",,206.0
"POINT (27.1908376 38.3663476)",,269.0
"POINT (27.1905241 38.3660351)",,205.0
"POINT (27.1900014 38.3661464)",,266.0
"POINT (27.1901568 38.3670807)",,352.0
"POINT (27.1907697 38.3676959)",,410.0
"POINT (27.1902147 38.3678622)",,409.0
"POINT (27.1898779 38.3692055)",,421.0
"POINT (27.1899296 38.3693914)",,422.0
"POINT (27.1883022 38.3708236)",,246.0
"POINT (27.1880015 38.370898)",,245.0
"POINT (27.1875887 38.3716946)",,243.0
"POINT (27.187739 38.3723453)",,241.0
"POINT (27.1912423 38.3753895)",,311.0
"POINT (27.1906826 38.3749247)",,312.0
"POINT (27.1903816 38.3749991)",,236.0
"POINT (27.189536 38.3738866)",,237.0
"POINT (27.1892203 38.3734965)",,238.0
"POINT (27.1901412 38.373264)",,315.0
"POINT (27.1901765 38.3736929)",,314.0
"POINT (27.1909014 38.3731472)",,316.0
"POINT (27.190902 38.3732095)",,393.0
"POINT (27.1909069 38.3735748)",,394.0
"POINT (27.1910047 38.3743078)",,395.0
"POINT (27.1904977 38.3745089)",,313.0
"POINT (27.191646 38.373526)",,308.0
"POINT (27.1916225 38.3742708)",,309.0
"POINT (27.1908645 38.3728826)",,317.0
"POINT (27.1917363 38.3746727)",,310.0
"POINT (27.1921549 38.3730764)",,307.0
