mahalle,vehicle_id,vehicle_name,route_no,step_no,from_node,to_service_start,travel_path,travel_distance,serviced_edge,service_direction,service_distance,yol_adi,demand,cumulative_load
atatürk,1,AVG,1,START,REAL_DEPOT,0,REAL_DEPOT_TO_VIRTUAL_DEPOT,5600.0,,REAL_DEPOT_TO_VIRTUAL_DEPOT,0.0,-,0,0
atatürk,1,AVG,1,1,0,102,"[0, 46, 47, 48, 45, 102]",1247.0,68.0,102->101,131.0,Hoca Ahmet Yesevi cd.,700,700
atatürk,1,AVG,1,2,101,188,"[101, 103, 104, 106, 188]",339.0,101.0,188->187,46.0,204 sk.,700,1400
atatürk,1,AVG,1,3,187,181,"[187, 186, 183, 182, 180, 181]",226.0,74.0,181->113,90.0,202/37 sk.,2100,3500
atatürk,1,AVG,1,4,113,112,"[113, 112]",50.0,77.0,112->110,87.0,204/31 sk.,1400,4900
atatürk,1,AVG,1,5,110,182,"[110, 182]",95.0,80.0,182->183,53.0,204/27 sk.,1400,6300
atatürk,1,AVG,1,6,183,183,[183],0.0,82.0,183->184,46.0,204/4 sk.,1400,7700
atatürk,1,AVG,1,7,184,61,"[184, 183, 182, 61]",178.0,123.0,61->189,85.0,204/21 sk.,2100,9800
atatürk,1,AVG,1,8,189,72,"[189, 190, 192, 88, 87, 86, 85, 72]",418.0,88.0,72->71,140.0,206 sk.,2800,12600
atatürk,1,AVG,1,9,71,72,"[71, 72]",140.0,90.0,72->85,103.0,209/1 sk.,1400,14000
atatürk,1,AVG,1,10,85,83,"[85, 86, 87, 83]",91.0,94.0,83->82,79.0,63/4 sk.,1400,15400
atatürk,1,AVG,1,11,82,82,[82],0.0,95.0,82->81,119.0,204/7 sk.,1400,16800
atatürk,1,AVG,1,12,81,84,"[81, 84]",88.0,96.0,84->83,88.0,204/12 sk.,1400,18200
atatürk,1,AVG,1,13,83,86,"[83, 87, 86]",65.0,99.0,86->84,121.0,63/3 sk.,2100,20300
atatürk,1,AVG,1,14,84,88,"[84, 86, 87, 88]",285.0,110.0,88->192,17.0,207 sk.,2100,22400
atatürk,1,AVG,1,15,192,88,"[192, 88]",17.0,100.0,88->87,151.0,63/5 sk.,2100,24500
atatürk,1,AVG,1,16,87,190,"[87, 88, 192, 190]",234.0,109.0,190->191,52.0,204/8 sk.,700,25200
atatürk,1,AVG,1,17,191,190,"[191, 190]",52.0,111.0,190->192,66.0,204/4 sk.,1400,26600
atatürk,1,AVG,1,18,192,192,[192],0.0,112.0,192->193,105.0,204/10 sk.,1400,28000
atatürk,1,AVG,1,19,193,196,"[193, 192, 88, 196]",189.0,114.0,196->197,82.0,63/7 sk.,2100,30100
atatürk,1,AVG,1,20,197,196,"[197, 196]",82.0,116.0,196->195,93.0,204/18 sk.,2100,32200
atatürk,1,AVG,1,21,195,62,"[195, 196, 197, 62]",229.0,119.0,62->76,40.0,207 sk.,2100,34300
atatürk,1,AVG,1,22,76,79,"[76, 80, 79]",109.0,133.0,79->78,58.0,206 sk.,2800,37100
atatürk,1,AVG,1,23,78,79,"[78, 79]",58.0,143.0,79->75,70.0,207 sk.,1400,38500
atatürk,1,AVG,1,24,75,195,"[75, 79, 80, 76, 62, 197, 198, 199, 195]",420.0,148.0,195->194,89.0,63 sk.,1400,39900
atatürk,1,AVG,1,25,194,194,[194],0.0,149.0,194->99,199.0,63 sk.,1400,41300
atatürk,1,AVG,1,26,99,99,[99],0.0,151.0,99->89,205.0,204/10 sk.,5600,46900
atatürk,1,AVG,1,27,89,89,[89],0.0,153.0,89->90,64.0,204/34 sk.,4200,51100
atatürk,1,AVG,1,28,90,104,"[90, 176, 177, 60, 61, 182, 183, 184, 109, 107, 106, 104]",722.0,187.0,104->103,53.0,204/2 sk.,1400,52500
atatürk,1,AVG,1,29,103,73,"[103, 101, 100, 71, 73]",395.0,156.0,73->74,83.0,218 sk.,2100,54600
atatürk,1,AVG,1,30,74,65,"[74, 73, 71, 100, 101, 102, 105, 108, 67, 114, 116, 66, 64, 65]",1106.0,166.0,65->131,123.0,Hoca Ahmet Yesevi cd.,700,55300
atatürk,1,AVG,1,31,131,129,"[131, 130, 129]",45.0,169.0,129->127,42.0,202/12 sk.,700,56000
atatürk,1,AVG,1,32,127,125,"[127, 125]",52.0,171.0,125->171,83.0,202/53 sk.,3500,59500
atatürk,1,AVG,1,33,171,122,"[171, 124, 123, 122]",127.0,179.0,122->120,16.0,202/40 sk.,2100,61600
atatürk,1,AVG,1,34,120,123,"[120, 122, 123]",48.0,181.0,123->124,42.0,202/40 sk.,2800,64400
atatürk,1,AVG,1,35,124,119,"[124, 123, 122, 120, 119]",125.0,192.0,119->118,79.0,202/53 sk.,700,65100
atatürk,1,AVG,1,36,118,177,"[118, 179, 178, 177]",167.0,197.0,177->60,157.0,202/14 sk.,4200,69300
atatürk,1,AVG,1,37,60,63,"[60, 180, 181, 113, 114, 116, 66, 64, 65, 131, 134, 136, 63]",910.0,208.0,63->140,96.0,metin goktepe cd.,700,70000
atatürk,1,AVG,1,38,140,142,"[140, 155, 142]",46.0,209.0,142->143,39.0,metin goktepe cd.,1400,71400
atatürk,1,AVG,1,RETURN,143,0,"[143, 142, 155, 140, 63, 241, 242, 243, 328, 244, 245, 246, 247, 248, 249, 336, 403, 405, 346, 344, 345, 255, 201, 200, 0]",1649.0,,RETURN_TO_VIRTUAL_DEPOT,0.0,-,0,71400
atatürk,1,AVG,1,END,0,REAL_DEPOT,VIRTUAL_DEPOT_TO_REAL_DEPOT,5600.0,,VIRTUAL_DEPOT_TO_REAL_DEPOT,0.0,-,0,71400
atatürk,1,AVG,2,START,REAL_DEPOT,0,REAL_DEPOT_TO_VIRTUAL_DEPOT,5600.0,,REAL_DEPOT_TO_VIRTUAL_DEPOT,0.0,-,0,0
atatürk,1,AVG,2,1,0,143,"[0, 46, 47, 44, 42, 43, 242, 241, 63, 140, 155, 142, 143]",1907.0,210.0,143->145,148.0,metin goktepe cd.,4200,4200
atatürk,1,AVG,2,2,145,146,"[145, 146]",72.0,212.0,146->156,34.0,201 sk.,2800,7000
atatürk,1,AVG,2,3,156,159,"[156, 159]",42.0,214.0,159->160,55.0,201 sk.,4900,11900
atatürk,1,AVG,2,4,160,162,"[160, 162]",45.0,217.0,162->163,52.0,202/51 sk.,2100,14000
atatürk,1,AVG,2,5,163,92,"[163, 92]",71.0,219.0,92->96,91.0,202/42 sk.,1400,15400
atatürk,1,AVG,2,6,96,92,"[96, 92]",91.0,215.0,92->160,77.0,202/42 sk.,1400,16800
atatürk,1,AVG,2,7,160,149,"[160, 161, 59, 149]",128.0,224.0,149->150,54.0,202/8 sk.,2100,18900
atatürk,1,AVG,2,8,150,152,"[150, 151, 152]",94.0,226.0,152->139,48.0,202/58 sk.,2100,21000
atatürk,1,AVG,2,9,139,153,"[139, 152, 151, 153]",180.0,227.0,153->154,55.0,202/49 sk.,700,21700
atatürk,1,AVG,2,10,154,58,"[154, 58]",42.0,229.0,58->161,48.0,202/60 sk.,2100,23800
atatürk,1,AVG,2,11,161,158,"[161, 59, 158]",75.0,234.0,158->157,40.0,202/7 sk.,2100,25900
atatürk,1,AVG,2,12,157,139,"[157, 147, 148, 144, 141, 139]",221.0,239.0,139->140,80.0,202/58 sk.,1400,27300
atatürk,1,AVG,2,13,140,139,"[140, 139]",80.0,240.0,139->141,76.0,202/6 sk.,1400,28700
atatürk,1,AVG,2,14,141,174,"[141, 144, 150, 149, 59, 161, 58, 166, 167, 169, 174]",518.0,246.0,174->175,54.0,202/17 sk.,1400,30100
atatürk,1,AVG,2,15,175,174,"[175, 174]",54.0,247.0,174->173,32.0,202/17 sk.,700,30800
atatürk,1,AVG,2,16,173,172,"[173, 172]",26.0,249.0,172->121,52.0,202/17 sk.,1400,32200
atatürk,1,AVG,2,17,121,121,[121],0.0,250.0,121->171,66.0,202/53 sk.,700,32900
atatürk,1,AVG,2,18,171,170,"[171, 170]",50.0,251.0,170->172,67.0,202/15 sk.,700,33600
atatürk,1,AVG,2,19,172,168,"[172, 170, 168]",145.0,254.0,168->154,99.0,202/57 sk.,1400,35000
atatürk,1,AVG,2,20,154,165,"[154, 168, 167, 166, 165]",225.0,257.0,165->164,35.0,202/12 sk.,2100,37100
atatürk,1,AVG,2,21,164,166,"[164, 165, 166]",94.0,261.0,166->58,128.0,202/13 sk.,700,37800
atatürk,1,AVG,2,22,58,98,"[58, 166, 165, 91, 175, 176, 90, 89, 98]",607.0,266.0,98->97,178.0,Dogus cd.,700,38500
atatürk,1,AVG,2,23,97,169,"[97, 164, 165, 91, 169]",316.0,269.0,169->174,65.0,202/16 sk.,700,39200
atatürk,1,AVG,2,24,174,169,"[174, 169]",65.0,270.0,169->167,69.0,202/16 sk.,1400,40600
atatürk,1,AVG,2,RETURN,167,0,"[167, 168, 125, 127, 129, 130, 131, 43, 42, 39, 41, 40, 46, 0]",1664.0,,RETURN_TO_VIRTUAL_DEPOT,0.0,-,0,40600
atatürk,1,AVG,2,END,0,REAL_DEPOT,VIRTUAL_DEPOT_TO_REAL_DEPOT,5600.0,,VIRTUAL_DEPOT_TO_REAL_DEPOT,0.0,-,0,40600
atatürk,3,AZU,1,START,REAL_DEPOT,0,REAL_DEPOT_TO_VIRTUAL_DEPOT,5600.0,,REAL_DEPOT_TO_VIRTUAL_DEPOT,0.0,-,0,0
atatürk,3,AZU,1,1,0,114,"[0, 46, 47, 44, 116, 114]",1376.0,72.0,114->67,156.0,Hoca Ahmet Yesevi cd.,9000,9000
atatürk,3,AZU,1,2,67,105,"[67, 108, 105]",142.0,69.0,105->102,85.0,Hoca Ahmet Yesevi cd.,6000,15000
atatürk,3,AZU,1,3,102,102,[102],0.0,68.0,102->101,131.0,Hoca Ahmet Yesevi cd.,3000,18000
atatürk,3,AZU,1,4,101,69,"[101, 100, 71, 72, 79, 78, 68, 69]",631.0,128.0,69->70,27.0,63 sk.,6000,24000
atatürk,3,AZU,1,5,70,199,"[70, 198, 199]",65.0,131.0,199->195,53.0,63 sk.,3000,27000
atatürk,3,AZU,1,6,195,99,"[195, 194, 99]",288.0,150.0,99->98,138.0,63 sk.,3000,30000
atatürk,3,AZU,1,7,98,96,"[98, 97, 96]",344.0,279.0,96->95,114.0,Dogus cd.,3000,33000
atatürk,3,AZU,1,8,95,94,"[95, 94]",31.0,281.0,94->93,50.0,Dogus cd.,3000,36000
atatürk,3,AZU,1,9,93,63,"[93, 145, 143, 142, 155, 140, 63]",469.0,207.0,63->136,143.0,Hoca Ahmet Yesevi cd.,3000,39000
atatürk,3,AZU,1,10,136,134,"[136, 134]",71.0,198.0,134->131,88.0,Hoca Ahmet Yesevi cd.,6000,45000
atatürk,3,AZU,1,11,131,131,[131],0.0,166.0,131->65,123.0,Hoca Ahmet Yesevi cd.,6000,51000
atatürk,3,AZU,1,RETURN,65,0,"[65, 64, 66, 116, 44, 40, 46, 0]",1492.0,,RETURN_TO_VIRTUAL_DEPOT,0.0,-,0,51000
atatürk,3,AZU,1,END,0,REAL_DEPOT,VIRTUAL_DEPOT_TO_REAL_DEPOT,5600.0,,VIRTUAL_DEPOT_TO_REAL_DEPOT,0.0,-,0,51000
kurucesme,1,AVG,1,START,REAL_DEPOT,0,REAL_DEPOT_TO_VIRTUAL_DEPOT,5600.0,,REAL_DEPOT_TO_VIRTUAL_DEPOT,0.0,-,0,0
kurucesme,1,AVG,1,1,0,243,"[0, 46, 47, 44, 42, 39, 38, 243]",1606.0,353.0,243->244,111.0,206/50 sk.,1400,1400
kurucesme,1,AVG,1,2,244,246,"[244, 245, 246]",57.0,698.0,246->247,87.0,203/40 sk.,1400,2800
kurucesme,1,AVG,1,3,247,329,"[247, 246, 329]",98.0,368.0,329->325,62.0,203/40 sk.,2100,4900
kurucesme,1,AVG,1,4,325,325,[325],0.0,369.0,325->324,104.0,203/40 sk.,2100,7000
kurucesme,1,AVG,1,5,324,330,"[324, 330]",112.0,370.0,330->329,89.0,203/28 sk.,700,7700
kurucesme,1,AVG,1,6,329,330,"[329, 330]",89.0,372.0,330->331,59.0,203/28 sk.,700,8400
kurucesme,1,AVG,1,7,331,323,"[331, 397, 323]",100.0,374.0,323->324,41.0,203/40 sk.,700,9100
kurucesme,1,AVG,1,8,324,398,"[324, 323, 397, 398]",157.0,378.0,398->399,106.0,203/35 sk.,1400,10500
kurucesme,1,AVG,1,9,399,389,"[399, 388, 389]",91.0,381.0,389->396,99.0,205/1 sk.,2100,12600
kurucesme,1,AVG,1,10,396,390,"[396, 389, 390]",125.0,383.0,390->430,48.0,203/38 sk.,700,13300
kurucesme,1,AVG,1,11,430,430,[430],0.0,384.0,430->320,57.0,203/38 sk.,1400,14700
kurucesme,1,AVG,1,12,320,331,"[320, 321, 322, 323, 397, 331]",188.0,379.0,331->400,147.0,203/28 sk.,2100,16800
kurucesme,1,AVG,1,13,400,399,"[400, 399]",30.0,387.0,399->388,81.0,203/37 sk.,700,17500
kurucesme,1,AVG,1,14,388,387,"[388, 387]",106.0,393.0,387->386,79.0,205 sk.,2100,19600
kurucesme,1,AVG,1,15,386,384,"[386, 385, 384]",36.0,399.0,384->383,30.0,205 sk.,1400,21000
kurucesme,1,AVG,1,16,383,382,"[383, 382]",27.0,417.0,382->381,48.0,205 sk.,4200,25200
kurucesme,1,AVG,1,17,381,392,"[381, 382, 383, 384, 437, 434, 399, 388, 389, 390, 391, 392]",414.0,440.0,392->318,35.0,Hoca Ahmet Yesevi Cd.,700,25900
kurucesme,1,AVG,1,18,318,305,"[318, 392, 391, 305]",143.0,441.0,305->304,62.0,Hoca Ahmet Yesevi Cd.,700,26600
kurucesme,1,AVG,1,19,304,206,"[304, 303, 301, 300, 299, 298, 224, 223, 222, 220, 219, 292, 293, 378, 377, 417, 416, 415, 414, 358, 357, 271, 270, 269, 206]",1100.0,457.0,206->205,77.0,Yol adı belirtilmemiş,3500,30100
kurucesme,1,AVG,1,20,205,206,"[205, 206]",77.0,460.0,206->207,81.0,205/52 sk.,2800,32900
kurucesme,1,AVG,1,21,207,207,[207],0.0,461.0,207->208,50.0,205/52 sk.,2100,35000
kurucesme,1,AVG,1,22,208,355,"[208, 274, 273, 272, 271, 357, 356, 355]",281.0,464.0,355->354,62.0,205 sk.,700,35700
kurucesme,1,AVG,1,23,354,270,"[354, 270]",45.0,465.0,270->271,124.0,205/27 sk.,2800,38500
kurucesme,1,AVG,1,24,271,274,"[271, 272, 273, 274]",137.0,466.0,274->208,38.0,Yol adı belirtilmemiş,1400,39900
kurucesme,1,AVG,1,25,208,274,"[208, 274]",38.0,467.0,274->273,76.0,Yol adı belirtilmemiş,1400,41300
kurucesme,1,AVG,1,26,273,360,"[273, 272, 360]",59.0,470.0,360->359,29.0,205/3 sk.,2100,43400
kurucesme,1,AVG,1,27,359,365,"[359, 360, 361, 362, 363, 373, 365]",275.0,507.0,365->366,19.0,205/7 sk.,700,44100
kurucesme,1,AVG,1,28,366,368,"[366, 368]",72.0,511.0,368->370,42.0,205/29 sk.,700,44800
kurucesme,1,AVG,1,29,370,414,"[370, 436, 372, 373, 363, 362, 361, 360, 359, 358, 414]",441.0,482.0,414->413,77.0,205/17 sk.,2100,46900
kurucesme,1,AVG,1,30,413,378,"[413, 425, 418, 416, 417, 377, 378]",226.0,491.0,378->379,111.0,205/36 sk.,1400,48300
kurucesme,1,AVG,1,31,379,425,"[379, 417, 416, 418, 425]",166.0,493.0,425->413,68.0,205 sk.,700,49000
kurucesme,1,AVG,1,32,413,374,"[413, 414, 415, 376, 375, 374]",369.0,501.0,374->373,83.0,205/7 sk.,1400,50400
kurucesme,1,AVG,1,33,373,365,"[373, 365]",54.0,504.0,365->436,36.0,205/8 sk.,2100,52500
